LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
DEU,QGDP,TOT,PC_CHGPY,Q,2020-Q4,-2.871620591
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q1,-2.975180066
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q2,9.85367921
DEU,QGDP,TOT,PC_CHGPY,Q,2021-Q3,2.539096834
ESP,QGDP,TOT,PC_CHGPP,A,1961,11.8386869
ESP,QGDP,TOT,PC_CHGPP,A,1962,9.953426731
ESP,QGDP,TOT,PC_CHGPP,A,1963,9.596490038
ESP,QGDP,TOT,PC_CHGPP,A,1964,5.30852285
ESP,QGDP,TOT,PC_CHGPP,A,1965,6.253125451
ESP,QGDP,TOT,PC_CHGPP,A,1966,7.245787353
ESP,QGDP,TOT,PC_CHGPP,A,1967,4.34063628
ESP,QGDP,TOT,PC_CHGPP,A,1968,6.596745997
ESP,QGDP,TOT,PC_CHGPP,A,1969,8.9071843
ESP,QGDP,TOT,PC_CHGPP,A,1970,4.176673617
ESP,QGDP,TOT,PC_CHGPP,A,1971,4.646593668
ESP,QGDP,TOT,PC_CHGPP,A,1972,8.149117862
ESP,QGDP,TOT,PC_CHGPP,A,1973,7.795262362
ESP,QGDP,TOT,PC_CHGPP,A,1974,5.616675392
ESP,QGDP,TOT,PC_CHGPP,A,1975,0.541824951
ESP,QGDP,TOT,PC_CHGPP,A,1976,3.304180277
ESP,QGDP,TOT,PC_CHGPP,A,1977,2.839302888
ESP,QGDP,TOT,PC_CHGPP,A,1978,1.463347243
ESP,QGDP,TOT,PC_CHGPP,A,1979,0.043291706
ESP,QGDP,TOT,PC_CHGPP,A,1980,1.298189166
ESP,QGDP,TOT,PC_CHGPP,A,1981,-0.132139042
ESP,QGDP,TOT,PC_CHGPP,A,1982,1.244803718
ESP,QGDP,TOT,PC_CHGPP,A,1983,1.77110255
ESP,QGDP,TOT,PC_CHGPP,A,1984,1.784042958
ESP,QGDP,TOT,PC_CHGPP,A,1985,2.320815471
ESP,QGDP,TOT,PC_CHGPP,A,1986,3.253658372
ESP,QGDP,TOT,PC_CHGPP,A,1987,5.547452628
ESP,QGDP,TOT,PC_CHGPP,A,1988,5.093494242
